id,video_id,comment,layer,subject,stance
1,bear1,逆に言うと東京に被害が出ないと本気にならないんよね,A,不明,不明
2,bear1,2年くらい前に専門家が、あと2年経ったら手に負えなくなるって言っていたような気がするけど、「あぁ確かに、今そうなってるわ。」という感じに。,A,不明,不明
3,bear1,登下校中に子供達が襲われたNEWSとか見たく無いよ... いつか本当に起きそうでこわい...,A,被害者,不安
4,bear1,運悪く遭遇したら生きたまま食い殺されるの最悪すぎる,A,熊,不明
5,bear1,東京に出ないと国は動かない。地方差別だと思う,A,不明,不明
6,bear1,いや猟友会に大金払えよ。,A,政府,不明
7,bear1,いままでマタギの方々がこうならないように事前に補殺してくれてたんだろうねぇ。多すぎるもの,A,不明,不明
8,bear1,ハイキングも呑気に出来ない時代になってしまった.....,A,不明,不明
9,bear1,日の出町、あきる野よく行くけど山でなく街に出て来たら本当に危険! 早く対応してもらわないと取り返しつかなくなる...,C,政府,要求
10,bear1,柿の木を切るんじゃなくて熊を駆除すればいいんだよ。,C,不明,不明
11,bear1,子供が被害に遭うまでどこも本気で対応しようとしないだろうね この国はずっとそう,C,政府,不明
12,bear1,さんざん熊いるところに住んでる方が悪いって言ってる人達は東京に出た熊に対してどう思ってるんやろ.......,A,不明,皮肉
13,bear1,人を襲う熊はS級の害獣だろ。,A,不明,不明
14,bear1,住宅地に出たクマを駆除するよう法改正してください。個体数を減らしてください。,C,不明,要求
15,bear1,本当に危険な状況になって来た。,A,熊,不安
16,bear1,登校危険すぎるやろ,A,熊,不安
17,bear1,いえ東京出没じゃなくても他人事と思った事は一度もありません。亡くなられたお年寄りの方等本心心が痛みます。,A,不明,不明
18,bear1,本来越冬できなくて淘汰されるクマが生き延びたらそりゃ爆増するよな,A,不明,分析
19,bear1,ここまで同じタイミングで一斉に街に流れ出てるの凄いな。ただ熊被害で亡くなる人が増える前に対策してほしい,C,政府,要求
20,bear1,以前駆除するの可哀想とか言ってた奴ら、今の状況でも同じこと言えるのかな,C,不明,不明
21,bear1,23区に到達したら国ぐるみで動くんじゃないですか,A,不明,不明
22,bear1,もう、通り魔以上だよ! 怖い,B,熊,不安
23,bear1,数年前に親戚の隣家のおばさんが襲われて顔面が大きく裂けて今も泣き暮らしてるそうです。駆除を求めます。,C,政府,要求
24,bear1,クマにクマ肉の味を覚えさせればクマの増えすぎ問題は自己解決できる,A,不明,不明
25,bear1,これ放置ならもはや国の存在意義が問われるよ。国民の命を守らずして何の国家か,A,不明,不明
26,bear1,今もし戦争起きても間違いなく国に見捨てられるの何か見えてきたww,A,不明,不明
27,bear1,深夜ならまだしも6時なんて普通に出歩いてる時間帯やん...,A,不明,不明
28,bear1,東京の田舎だから... って言ってる人危機感なさすぎる。そこまできてるって事をまず認識した方がいいよ。,B,不明,批判
29,bear1,「うわっ!クマや!」って車で撮影しながら追いかけてるけど、その先に歩いてる人おったらどうするんや...,A,不明,不明
30,bear1,柿の木の管理！？それは個人が自宅の木をどうこうするって事？それは根本的な解決にはならないと思う,A,不明,不明
31,bear1,野良犬のように熊おるな,A,不明,不明
32,bear1,クマかわいそうと豪語したやさしい東京都民に助けを求め逢いに来た。,A,不明,不明
33,bear1,玄関開けてこんなのいたらビビるわ,A,不明,不明
34,bear1,環境省が発表してるデータにクマが増加傾向とありますね。対応は、急務です。,C,政府,分析
35,bear1,もうダメだな。ここまでやられてクマを保護とか馬鹿馬鹿しい。 徹底的に駆除してその結果絶滅しても良い。,B,不明,分析
36,bear1,可哀想だが、駆除してもらうしかないだろ人間の生活が第一です,C,不明,不明
37,bear1,秋田は普通に戦場のど真ん中だと認識した方がいい,A,不明,不明
38,bear1,公安が猟銃取り上げるし、警察はやる気ないから頼れるのが本当に自衛隊しかない状況なんだよなぁ…,A,不明,不明
39,bear1,原因はもうわかってるはず。国は早急に対処しろ!,C,不明,分析
40,bear1,柿の木を切れば熊はその10m先の蜜柑の木を目指して移動するだけよ,A,不明,不明
41,bear1,東京の人が襲われたら国が動くのかな。地方の命に軽いからね。,A,被害者,不明
42,bear1,それこそ霞ヶ関で被害が出たらそれはそれはものすごい早さで対応するんだろうな,B,政府,賞賛
43,bear1,家の外に飼っている犬は、玄関の中に入れてあげないと危険ですね!,A,熊,不安
44,bear1,これでも霞ヶ関民(政府)にとっては熊のことは遠い話な気がする。23区内に熊が出て初めてちゃんと対策考えるんじゃないかな。,A,政府,不明
45,bear1,どこまで被害が出れば処分対応するのでしょうか。,C,政府,不明
46,bear1,東京の態はちゃんと痩せてるけど、秋田の熊はガッツリ脂肪蓄えてる。森が豊か過ぎるんだろう,A,不明,不明
47,bear1,ずいぶん悠長だな　狙われないとわからないのか?,A,不明,不明
48,bear1,柿の木なくなったら更に人家に入ってきたり熊は追い詰められるだけだろうに。熊を減らさないと。,C,不明,不明
49,bear1,クレーマーの皆さん、身近に熊が来てくれましたよ?保護のチャンスですw,A,不明,皮肉
50,bear1,クマを目撃したら直ぐ駆除しないと逃がしてたら増えるばかり、ぬるいんだよ日本は平和ボケか,C,不明,不明
1,bear2,被害から10分で駆除とか猟友会プロすぎだろw,C,猟友会,賞賛
2,bear2,ニュース見てると猟友会のハンターって人的被害を起こした熊のほぼ100%を仕留めてるよね。凄くない?,A,猟友会,不明
3,bear2,眠らせただけの状態でクマに触ったり抱えたりとかよく出来るな。その勇敢さ、尊敬する。,B,市職員,賞賛
4,bear2,ちょっと待て、殺さずに眠らせたまま運ぶんかいwこの工程すんの怖すぎるだろw,A,市職員,共感
5,bear2,一般人にクマの駆除をお願いする以上、危険手当を手厚くして十分な報酬を出すべき。,C,政府,不安
6,bear2,吹き矢を受けても全然気にせずリンゴ食ってて笑った。こいつ駆除しないと来年も絶対このリンゴ園に来るわ,C,熊,皮肉
7,bear2,こんな凶暴な熊が四六時中ずっと外にいると思ったらノイローゼになるわ,A,不明,不明
8,bear2,市職員「想定外ですね〜」ってどこが想定外やねん。ぱっと見でも蹴り飛ばしたら壊れるレベル。,A,市職員,不明
9,bear2,街中に出てくるのも異常だし、デカさも知ってるツキノワグマのデカさじゃない個体が多すぎる,A,熊,不明
10,bear2,100m7秒台で走る両手に刃物を持った130kgの男が街をうろついてるようなものだよね。,A,不明,不明
11,bear2,猟銃会のみなさんご高齢だけど、老眼が出てそうなのに命中させるのすごい。。,A,不明,賞賛
12,bear2,林檎の味を覚えたら、もう木の実には戻れない。,A,不明,不明
